"SUS","VENTED","AMOGUS"
"30","5","Body"
"30","6","Body"
"30","7","Body"
"30","8","Body"
"30","9","Body"
"30","10","Body"
"30","11","Body"
"30","12","Body"
"30","13","Body"
"30","14","Body"
"30","15","Body"
"30","16","Body"
"30","17","Body"
"30","18","Body"
"30","19","Body"
"30","20","Body"
"30","21","Body"
"30","22","Body"
"30","23","Body"
"30","24","Body"
"30","25","Body"
"30","47","Body"
"30","48","Body"
"30","49","Body"
"30","50","Body"
"30","51","Body"
"30","52","Body"
"30","53","Body"
"30","54","Body"
"30","55","Body"
"30","56","Body"
"30","57","Body"
"30","58","Body"
"30","59","Body"
"30","60","Body"
"63","5","Body"
"63","6","Body"
"63","7","Body"
"63","8","Body"
"63","9","Body"
"63","10","Body"
"63","11","Body"
"63","12","Body"
"63","13","Body"
"63","14","Body"
"63","15","Body"
"63","16","Body"
"63","17","Body"
"63","18","Body"
"63","19","Body"
"63","20","Body"
"63","21","Body"
"63","22","Body"
"63","23","Body"
"63","24","Body"
"63","25","Body"
"63","26","Body"
"63","27","Body"
"63","28","Body"
"63","29","Body"
"63","30","Body"
"63","31","Body"
"63","32","Body"
"63","33","Body"
"63","34","Body"
"63","35","Body"
"63","36","Body"
"63","37","Body"
"63","38","Body"
"63","39","Body"
"63","40","Body"
"63","41","Body"
"63","53","Body"
"63","54","Body"
"63","55","Body"
"63","56","Body"
"63","57","Body"
"63","58","Body"
"63","59","Body"
"63","60","Body"
"22","25","Body"
"22","26","Body"
"22","27","Body"
"22","28","Body"
"22","29","Body"
"22","30","Body"
"22","31","Body"
"22","32","Body"
"22","33","Body"
"22","34","Body"
"22","35","Body"
"22","36","Body"
"22","37","Body"
"22","38","Body"
"22","39","Body"
"22","40","Body"
"22","41","Body"
"22","42","Body"
"22","43","Body"
"22","44","Body"
"22","45","Body"
"22","46","Body"
"22","47","Body"
"42","5","Body"
"42","6","Body"
"42","7","Body"
"42","8","Body"
"42","9","Body"
"42","10","Body"
"42","11","Body"
"42","12","Body"
"42","13","Body"
"42","14","Body"
"51","5","Body"
"51","6","Body"
"51","7","Body"
"51","8","Body"
"51","9","Body"
"51","10","Body"
"51","11","Body"
"51","12","Body"
"51","13","Body"
"51","14","Body"
"30","5","Body"
"31","5","Body"
"32","5","Body"
"33","5","Body"
"34","5","Body"
"35","5","Body"
"36","5","Body"
"37","5","Body"
"38","5","Body"
"39","5","Body"
"40","5","Body"
"41","5","Body"
"42","5","Body"
"51","5","Body"
"52","5","Body"
"53","5","Body"
"54","5","Body"
"55","5","Body"
"56","5","Body"
"57","5","Body"
"58","5","Body"
"59","5","Body"
"60","5","Body"
"61","5","Body"
"62","5","Body"
"63","5","Body"
"42","14","Body"
"43","14","Body"
"44","14","Body"
"45","14","Body"
"46","14","Body"
"47","14","Body"
"48","14","Body"
"49","14","Body"
"50","14","Body"
"51","14","Body"
"22","25","Body"
"23","25","Body"
"24","25","Body"
"25","25","Body"
"26","25","Body"
"27","25","Body"
"28","25","Body"
"29","25","Body"
"30","25","Body"
"22","47","Body"
"23","47","Body"
"24","47","Body"
"25","47","Body"
"26","47","Body"
"27","47","Body"
"28","47","Body"
"29","47","Body"
"30","47","Body"
"30","60","Body"
"31","60","Body"
"32","60","Body"
"33","60","Body"
"34","60","Body"
"35","60","Body"
"36","60","Body"
"37","60","Body"
"38","60","Body"
"39","60","Body"
"40","60","Body"
"41","60","Body"
"42","60","Body"
"43","60","Body"
"44","60","Body"
"45","60","Body"
"46","60","Body"
"47","60","Body"
"48","60","Body"
"49","60","Body"
"50","60","Body"
"51","60","Body"
"52","60","Body"
"53","60","Body"
"54","60","Body"
"55","60","Body"
"56","60","Body"
"57","60","Body"
"58","60","Body"
"59","60","Body"
"60","60","Body"
"61","60","Body"
"62","60","Body"
"63","60","Body"
"49","41","Eyes"
"50","41","Eyes"
"51","41","Eyes"
"52","41","Eyes"
"53","41","Eyes"
"54","41","Eyes"
"55","41","Eyes"
"56","41","Eyes"
"57","41","Eyes"
"58","41","Eyes"
"59","41","Eyes"
"60","41","Eyes"
"61","41","Eyes"
"62","41","Eyes"
"63","41","Eyes"
"64","41","Eyes"
"65","41","Eyes"
"66","41","Eyes"
"67","41","Eyes"
"68","41","Eyes"
"69","41","Eyes"
"49","53","Eyes"
"50","53","Eyes"
"51","53","Eyes"
"52","53","Eyes"
"53","53","Eyes"
"54","53","Eyes"
"55","53","Eyes"
"56","53","Eyes"
"57","53","Eyes"
"58","53","Eyes"
"59","53","Eyes"
"60","53","Eyes"
"61","53","Eyes"
"62","53","Eyes"
"63","53","Eyes"
"64","53","Eyes"
"65","53","Eyes"
"66","53","Eyes"
"67","53","Eyes"
"68","53","Eyes"
"69","53","Eyes"
"49","41","Eyes"
"49","42","Eyes"
"49","43","Eyes"
"49","44","Eyes"
"49","45","Eyes"
"49","46","Eyes"
"49","47","Eyes"
"49","48","Eyes"
"49","49","Eyes"
"49","50","Eyes"
"49","51","Eyes"
"49","52","Eyes"
"49","53","Eyes"
"69","41","Eyes"
"69","42","Eyes"
"69","43","Eyes"
"69","44","Eyes"
"69","45","Eyes"
"69","46","Eyes"
"69","47","Eyes"
"69","48","Eyes"
"69","49","Eyes"
"69","50","Eyes"
"69","51","Eyes"
"69","52","Eyes"
"69","53","Eyes"
